based on this simple data:
    X = [[0, 0], [0, 1], [1, 0], [1, 1]]
    Y = [[0], [1], [1], [1]]



Epoch 23400, Loss: 0.0685
Epoch 23500, Loss: 0.0682
Epoch 23600, Loss: 0.0679
Epoch 23700, Loss: 0.0675
Epoch 23800, Loss: 0.0672
Epoch 23900, Loss: 0.0669
Epoch 24000, Loss: 0.0665
Epoch 24100, Loss: 0.0662
Epoch 24200, Loss: 0.0659
Epoch 24300, Loss: 0.0656
Epoch 24400, Loss: 0.0653
Epoch 24500, Loss: 0.0649
Epoch 24600, Loss: 0.0646
Epoch 24700, Loss: 0.0643
Epoch 24800, Loss: 0.0640
Epoch 24900, Loss: 0.0637
Epoch 25000, Loss: 0.0634
Epoch 25100, Loss: 0.0631
Epoch 25200, Loss: 0.0628
Epoch 25300, Loss: 0.0625
Epoch 25400, Loss: 0.0622
Epoch 25500, Loss: 0.0620
Epoch 25600, Loss: 0.0617
Epoch 25700, Loss: 0.0614
Epoch 25800, Loss: 0.0611
Epoch 25900, Loss: 0.0608
Epoch 26000, Loss: 0.0606
Epoch 26100, Loss: 0.0603
Epoch 26200, Loss: 0.0600
Epoch 26300, Loss: 0.0597
Epoch 26400, Loss: 0.0595
Epoch 26500, Loss: 0.0592
Epoch 26600, Loss: 0.0590
Epoch 26700, Loss: 0.0587
Epoch 26800, Loss: 0.0584
Epoch 26900, Loss: 0.0582
Epoch 27000, Loss: 0.0579
Epoch 27100, Loss: 0.0577
Epoch 27200, Loss: 0.0574
Epoch 27300, Loss: 0.0572
Epoch 27400, Loss: 0.0569
Epoch 27500, Loss: 0.0567
Epoch 27600, Loss: 0.0565
Epoch 27700, Loss: 0.0562
Epoch 27800, Loss: 0.0560
Epoch 27900, Loss: 0.0557
Epoch 28000, Loss: 0.0555
Epoch 28100, Loss: 0.0553
Epoch 28200, Loss: 0.0550
Epoch 28300, Loss: 0.0548
Epoch 28400, Loss: 0.0546
Epoch 28500, Loss: 0.0544
Epoch 28600, Loss: 0.0541
Epoch 28700, Loss: 0.0539
Epoch 28800, Loss: 0.0537
Epoch 28900, Loss: 0.0535
Epoch 29000, Loss: 0.0533
Epoch 29100, Loss: 0.0531
Epoch 29200, Loss: 0.0528
Epoch 29300, Loss: 0.0526
Epoch 29400, Loss: 0.0524
Epoch 29500, Loss: 0.0522
Epoch 29600, Loss: 0.0520
Epoch 29700, Loss: 0.0518
Epoch 29800, Loss: 0.0516
Epoch 29900, Loss: 0.0514
Epoch 30000, Loss: 0.0512
Epoch 30100, Loss: 0.0510
Epoch 30200, Loss: 0.0508
Epoch 30300, Loss: 0.0506
Epoch 30400, Loss: 0.0504
Epoch 30500, Loss: 0.0502
Epoch 30600, Loss: 0.0500
Epoch 30700, Loss: 0.0498
Epoch 30800, Loss: 0.0497
Epoch 30900, Loss: 0.0495
Epoch 31000, Loss: 0.0493
Epoch 31100, Loss: 0.0491
Epoch 31200, Loss: 0.0489
Epoch 31300, Loss: 0.0487
Epoch 31400, Loss: 0.0485
Epoch 31500, Loss: 0.0484
Epoch 31600, Loss: 0.0482
Epoch 31700, Loss: 0.0480
Epoch 31800, Loss: 0.0478
Epoch 31900, Loss: 0.0477
Epoch 32000, Loss: 0.0475
Epoch 32100, Loss: 0.0473
Epoch 32200, Loss: 0.0471
Epoch 32300, Loss: 0.0470
Epoch 32400, Loss: 0.0468
Epoch 32500, Loss: 0.0466
Epoch 32600, Loss: 0.0465
Epoch 32700, Loss: 0.0463
Epoch 32800, Loss: 0.0461
Epoch 32900, Loss: 0.0460
Epoch 33000, Loss: 0.0458
Epoch 33100, Loss: 0.0456
Epoch 33200, Loss: 0.0455
Epoch 33300, Loss: 0.0453
Epoch 33400, Loss: 0.0452
Epoch 33500, Loss: 0.0450
Epoch 33600, Loss: 0.0449
Epoch 33700, Loss: 0.0447
Epoch 33800, Loss: 0.0445
Epoch 33900, Loss: 0.0444
Epoch 34000, Loss: 0.0442
Epoch 34100, Loss: 0.0441
Epoch 34200, Loss: 0.0439
Epoch 34300, Loss: 0.0438
Epoch 34400, Loss: 0.0436
Epoch 34500, Loss: 0.0435
Epoch 34600, Loss: 0.0434
Epoch 34700, Loss: 0.0432
Epoch 34800, Loss: 0.0431
Epoch 34900, Loss: 0.0429
Epoch 35000, Loss: 0.0428
Epoch 35100, Loss: 0.0426
Epoch 35200, Loss: 0.0425
Epoch 35300, Loss: 0.0424
Epoch 35400, Loss: 0.0422
Epoch 35500, Loss: 0.0421
Epoch 35600, Loss: 0.0419
Epoch 35700, Loss: 0.0418
Epoch 35800, Loss: 0.0417
Epoch 35900, Loss: 0.0415
Epoch 36000, Loss: 0.0414
Epoch 36100, Loss: 0.0413
Epoch 36200, Loss: 0.0411
Epoch 36300, Loss: 0.0410
Epoch 36400, Loss: 0.0409
Epoch 36500, Loss: 0.0407
Epoch 36600, Loss: 0.0406
Epoch 36700, Loss: 0.0405
Epoch 36800, Loss: 0.0404
Epoch 36900, Loss: 0.0402
Epoch 37000, Loss: 0.0401
Epoch 37100, Loss: 0.0400
Epoch 37200, Loss: 0.0399
Epoch 37300, Loss: 0.0397
Epoch 37400, Loss: 0.0396
Epoch 37500, Loss: 0.0395
Epoch 37600, Loss: 0.0394
Epoch 37700, Loss: 0.0392
Epoch 37800, Loss: 0.0391
Epoch 37900, Loss: 0.0390
Epoch 38000, Loss: 0.0389
Epoch 38100, Loss: 0.0388
Epoch 38200, Loss: 0.0386
Epoch 38300, Loss: 0.0385
Epoch 38400, Loss: 0.0384
Epoch 38500, Loss: 0.0383
Epoch 38600, Loss: 0.0382
Epoch 38700, Loss: 0.0381
Epoch 38800, Loss: 0.0380
Epoch 38900, Loss: 0.0378
Epoch 39000, Loss: 0.0377
Epoch 39100, Loss: 0.0376
Epoch 39200, Loss: 0.0375
Epoch 39300, Loss: 0.0374
Epoch 39400, Loss: 0.0373
Epoch 39500, Loss: 0.0372
Epoch 39600, Loss: 0.0371
Epoch 39700, Loss: 0.0370
Epoch 39800, Loss: 0.0369
Epoch 39900, Loss: 0.0367
Epoch 40000, Loss: 0.0366
Epoch 40100, Loss: 0.0365
Epoch 40200, Loss: 0.0364
Epoch 40300, Loss: 0.0363
Epoch 40400, Loss: 0.0362
Epoch 40500, Loss: 0.0361
Epoch 40600, Loss: 0.0360
Epoch 40700, Loss: 0.0359
Epoch 40800, Loss: 0.0358
Epoch 40900, Loss: 0.0357
Epoch 41000, Loss: 0.0356
Epoch 41100, Loss: 0.0355
Epoch 41200, Loss: 0.0354
Epoch 41300, Loss: 0.0353
Epoch 41400, Loss: 0.0352
Epoch 41500, Loss: 0.0351
Epoch 41600, Loss: 0.0350
Epoch 41700, Loss: 0.0349
Epoch 41800, Loss: 0.0348
Epoch 41900, Loss: 0.0347
Epoch 42000, Loss: 0.0346
Epoch 42100, Loss: 0.0345
Epoch 42200, Loss: 0.0344
Epoch 42300, Loss: 0.0343
Epoch 42400, Loss: 0.0343
Epoch 42500, Loss: 0.0342
Epoch 42600, Loss: 0.0341
Epoch 42700, Loss: 0.0340
Epoch 42800, Loss: 0.0339
Epoch 42900, Loss: 0.0338
Epoch 43000, Loss: 0.0337
Epoch 43100, Loss: 0.0336
Epoch 43200, Loss: 0.0335
Epoch 43300, Loss: 0.0334
Epoch 43400, Loss: 0.0333
Epoch 43500, Loss: 0.0333
Epoch 43600, Loss: 0.0332
Epoch 43700, Loss: 0.0331
Epoch 43800, Loss: 0.0330
Epoch 43900, Loss: 0.0329
Epoch 44000, Loss: 0.0328
Epoch 44100, Loss: 0.0327
Epoch 44200, Loss: 0.0327
Epoch 44300, Loss: 0.0326
Epoch 44400, Loss: 0.0325
Epoch 44500, Loss: 0.0324
Epoch 44600, Loss: 0.0323
Epoch 44700, Loss: 0.0322
Epoch 44800, Loss: 0.0321
Epoch 44900, Loss: 0.0321
Epoch 45000, Loss: 0.0320
Epoch 45100, Loss: 0.0319
Epoch 45200, Loss: 0.0318
Epoch 45300, Loss: 0.0317
Epoch 45400, Loss: 0.0317
Epoch 45500, Loss: 0.0316
Epoch 45600, Loss: 0.0315
Epoch 45700, Loss: 0.0314
Epoch 45800, Loss: 0.0313
Epoch 45900, Loss: 0.0313
Epoch 46000, Loss: 0.0312
Epoch 46100, Loss: 0.0311
Epoch 46200, Loss: 0.0310
Epoch 46300, Loss: 0.0310
Epoch 46400, Loss: 0.0309
Epoch 46500, Loss: 0.0308
Epoch 46600, Loss: 0.0307
Epoch 46700, Loss: 0.0307
Epoch 46800, Loss: 0.0306
Epoch 46900, Loss: 0.0305
Epoch 47000, Loss: 0.0304
Epoch 47100, Loss: 0.0304
Epoch 47200, Loss: 0.0303
Epoch 47300, Loss: 0.0302
Epoch 47400, Loss: 0.0301
Epoch 47500, Loss: 0.0301
Epoch 47600, Loss: 0.0300
Epoch 47700, Loss: 0.0299
Epoch 47800, Loss: 0.0298
Epoch 47900, Loss: 0.0298
Epoch 48000, Loss: 0.0297
Epoch 48100, Loss: 0.0296
Epoch 48200, Loss: 0.0296
Epoch 48300, Loss: 0.0295
Epoch 48400, Loss: 0.0294
Epoch 48500, Loss: 0.0293
Epoch 48600, Loss: 0.0293
Epoch 48700, Loss: 0.0292
Epoch 48800, Loss: 0.0291
Epoch 48900, Loss: 0.0291
Epoch 49000, Loss: 0.0290
Epoch 49100, Loss: 0.0289
Epoch 49200, Loss: 0.0289
Epoch 49300, Loss: 0.0288
Epoch 49400, Loss: 0.0287
Epoch 49500, Loss: 0.0287
Epoch 49600, Loss: 0.0286
Epoch 49700, Loss: 0.0285
Epoch 49800, Loss: 0.0285
Epoch 49900, Loss: 0.0284
Epoch 50000, Loss: 0.0283
Epoch 50100, Loss: 0.0283
Epoch 50200, Loss: 0.0282
Epoch 50300, Loss: 0.0282
Epoch 50400, Loss: 0.0281
Epoch 50500, Loss: 0.0280
Epoch 50600, Loss: 0.0280
Epoch 50700, Loss: 0.0279
Epoch 50800, Loss: 0.0278
Epoch 50900, Loss: 0.0278
Epoch 51000, Loss: 0.0277
Epoch 51100, Loss: 0.0276
Epoch 51200, Loss: 0.0276
Epoch 51300, Loss: 0.0275
Epoch 51400, Loss: 0.0275
Epoch 51500, Loss: 0.0274
Epoch 51600, Loss: 0.0273
Epoch 51700, Loss: 0.0273
Epoch 51800, Loss: 0.0272
Epoch 51900, Loss: 0.0272
Epoch 52000, Loss: 0.0271
Epoch 52100, Loss: 0.0270
Epoch 52200, Loss: 0.0270
Epoch 52300, Loss: 0.0269
Epoch 52400, Loss: 0.0269
Epoch 52500, Loss: 0.0268
Epoch 52600, Loss: 0.0267
Epoch 52700, Loss: 0.0267
Epoch 52800, Loss: 0.0266
Epoch 52900, Loss: 0.0266
Epoch 53000, Loss: 0.0265
Epoch 53100, Loss: 0.0265
Epoch 53200, Loss: 0.0264
Epoch 53300, Loss: 0.0263
Epoch 53400, Loss: 0.0263
Epoch 53500, Loss: 0.0262
Epoch 53600, Loss: 0.0262
Epoch 53700, Loss: 0.0261
Epoch 53800, Loss: 0.0261
Epoch 53900, Loss: 0.0260
Epoch 54000, Loss: 0.0260
Epoch 54100, Loss: 0.0259
Epoch 54200, Loss: 0.0258
Epoch 54300, Loss: 0.0258
Epoch 54400, Loss: 0.0257
Epoch 54500, Loss: 0.0257
Epoch 54600, Loss: 0.0256
Epoch 54700, Loss: 0.0256
Epoch 54800, Loss: 0.0255
Epoch 54900, Loss: 0.0255
Epoch 55000, Loss: 0.0254
Epoch 55100, Loss: 0.0254
Epoch 55200, Loss: 0.0253
Epoch 55300, Loss: 0.0253
Epoch 55400, Loss: 0.0252
Epoch 55500, Loss: 0.0252
Epoch 55600, Loss: 0.0251
Epoch 55700, Loss: 0.0251
Epoch 55800, Loss: 0.0250
Epoch 55900, Loss: 0.0250
Epoch 56000, Loss: 0.0249
Epoch 56100, Loss: 0.0249
Epoch 56200, Loss: 0.0248
Epoch 56300, Loss: 0.0248
Epoch 56400, Loss: 0.0247
Epoch 56500, Loss: 0.0247
Epoch 56600, Loss: 0.0246
Epoch 56700, Loss: 0.0246
Epoch 56800, Loss: 0.0245
Epoch 56900, Loss: 0.0245
Epoch 57000, Loss: 0.0244
Epoch 57100, Loss: 0.0244
Epoch 57200, Loss: 0.0243
Epoch 57300, Loss: 0.0243
Epoch 57400, Loss: 0.0242
Epoch 57500, Loss: 0.0242
Epoch 57600, Loss: 0.0241
Epoch 57700, Loss: 0.0241
Epoch 57800, Loss: 0.0240
Epoch 57900, Loss: 0.0240
Epoch 58000, Loss: 0.0239
Epoch 58100, Loss: 0.0239
Epoch 58200, Loss: 0.0238
Epoch 58300, Loss: 0.0238
Epoch 58400, Loss: 0.0237
Epoch 58500, Loss: 0.0237
Epoch 58600, Loss: 0.0237
Epoch 58700, Loss: 0.0236
Epoch 58800, Loss: 0.0236
Epoch 58900, Loss: 0.0235
Epoch 59000, Loss: 0.0235
Epoch 59100, Loss: 0.0234
Epoch 59200, Loss: 0.0234
Epoch 59300, Loss: 0.0233
Epoch 59400, Loss: 0.0233
Epoch 59500, Loss: 0.0232
Epoch 59600, Loss: 0.0232
Epoch 59700, Loss: 0.0232
Epoch 59800, Loss: 0.0231
Epoch 59900, Loss: 0.0231
Input: [0, 0], Predicted: [0.10826190933465753]
Input: [0, 1], Predicted: [0.9261832850569659]
Input: [1, 0], Predicted: [0.9277449060502581]
Input: [1, 1], Predicted: [0.9992437176940161]
